Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,118.900002,119.400002,118.139999,118.639999,117.954201,2276500
2023-03-28,118.089996,118.440002,117.360001,118.019997,117.337776,1551100
2023-03-29,118.080002,119.330002,118.080002,119.190002,118.501015,1522800
2023-03-30,120.000000,120.050003,118.839996,119.099998,118.411537,1979500
2023-03-31,119.379997,120.529999,118.970001,120.449997,119.753731,2347300
2023-04-03,120.139999,121.650002,119.599998,121.349998,120.648529,1946400
2023-04-04,121.430000,125.470001,121.230003,125.239998,124.516045,3303700
2023-04-05,125.239998,126.269997,124.839996,126.150002,125.420784,2564700
2023-04-06,125.800003,126.050003,124.750000,125.160004,124.436516,1991000
2023-04-10,124.790001,125.800003,123.739998,125.620003,124.893852,1421200
2023-04-11,125.129997,126.250000,124.739998,125.680000,124.953499,1596100
2023-04-12,126.279999,127.180000,125.820000,126.129997,125.400887,1377100
2023-04-13,126.580002,128.720001,126.580002,128.279999,127.538475,1637200
2023-04-14,127.980003,128.529999,127.440002,127.870003,127.130852,1377100
2023-04-17,127.370003,128.419998,127.120003,128.080002,127.339622,1534600
2023-04-18,128.809998,129.380005,127.820000,129.039993,128.294067,1668700
2023-04-19,128.580002,128.899994,128.059998,128.179993,127.439049,1221400
2023-04-20,128.279999,129.580002,128.149994,128.800003,128.055466,1621100
2023-04-21,129.050003,130.119995,128.699997,129.110001,128.363663,1679700
2023-04-24,128.610001,129.610001,128.220001,129.479996,128.731537,1226700
2023-04-25,128.990005,129.869995,128.869995,129.500000,128.751419,1424300
2023-04-26,126.209999,127.040001,124.089996,125.120003,124.396736,4249900
2023-04-27,124.050003,126.730003,124.050003,126.510002,125.778709,2465900
2023-04-28,126.440002,127.699997,126.279999,127.279999,126.544250,1828600
2023-05-01,127.139999,127.669998,126.339996,127.419998,126.683441,1438300
2023-05-02,126.889999,127.419998,124.739998,126.160004,125.430725,1862100
2023-05-03,126.309998,126.849998,124.820000,125.070000,124.347023,1769400
2023-05-04,125.930000,125.980003,123.860001,124.010002,123.293152,2534400
2023-05-05,123.779999,125.660004,123.269997,125.419998,124.695000,2806500
2023-05-08,125.250000,126.180000,124.279999,125.760002,125.033043,1831400
2023-05-09,125.510002,126.550003,124.839996,125.410004,124.685066,2916900
2023-05-10,129.320007,129.500000,122.930000,124.739998,124.018936,4824200
2023-05-11,125.370003,126.739998,124.360001,125.320000,124.595589,3183900
2023-05-12,125.879997,126.750000,124.739998,125.470001,124.744720,2533200
2023-05-15,124.919998,125.510002,123.879997,124.839996,124.118355,1826400
2023-05-16,124.279999,125.540001,123.949997,125.120003,124.396736,2664300
2023-05-17,124.279999,125.680000,123.540001,124.919998,124.197884,2899600
2023-05-18,125.400002,126.300003,124.430000,126.209999,125.480438,2421300
2023-05-19,126.500000,127.290001,125.110001,125.660004,124.933617,2241000
2023-05-22,126.309998,126.699997,124.720001,125.120003,124.396736,1445800
2023-05-23,124.500000,125.599998,124.019997,125.290001,124.565758,1663500
2023-05-24,125.459999,126.120003,124.389999,125.400002,124.675117,1353500
2023-05-25,124.820000,125.800003,123.949997,125.400002,124.675117,1782300
2023-05-26,125.150002,126.860001,124.480003,126.800003,126.067032,1884200
2023-05-30,127.029999,127.389999,126.099998,126.480003,125.937584,2247600
2023-05-31,126.480003,128.309998,126.220001,128.000000,127.451065,2791000
2023-06-01,128.000000,128.550003,127.309998,127.690002,127.142395,1534200
2023-06-02,127.830002,128.009995,126.459999,127.669998,127.122475,1727700
2023-06-05,126.699997,128.190002,126.699997,127.019997,126.475266,2075800
2023-06-06,127.320000,128.160004,126.959999,127.139999,126.594749,1461000
2023-06-07,127.139999,128.669998,125.440002,126.239998,125.698608,2180300
2023-06-08,126.650002,128.589996,126.500000,127.110001,126.564880,1882700
2023-06-09,126.970001,127.260002,125.820000,125.940002,125.399902,1791700
2023-06-12,125.910004,126.160004,125.269997,125.760002,125.220673,2349500
2023-06-13,125.760002,127.610001,125.680000,127.320000,126.773987,1892300
2023-06-14,127.050003,128.500000,126.610001,127.900002,127.351501,1536000
2023-06-15,128.580002,129.050003,127.690002,128.990005,128.436829,1723000
2023-06-16,129.979996,130.000000,128.220001,128.660004,128.108246,3123400
2023-06-20,127.940002,128.419998,126.230003,126.410004,125.867897,2130500
2023-06-21,125.470001,126.470001,124.410004,124.570000,124.035774,2657700
2023-06-22,124.199997,125.940002,124.080002,125.449997,124.911995,1445700
2023-06-23,124.910004,125.779999,124.580002,125.250000,124.712860,2074400
2023-06-26,124.940002,127.339996,124.690002,126.669998,126.126762,1537000
2023-06-27,127.480003,131.570007,127.230003,131.380005,130.816559,2462000
2023-06-28,131.160004,132.869995,130.270004,130.660004,130.099655,2282000
